,,,,,,,"Financial Year","2022-23","2022-23 - RSE","2022-23 - Annotations",
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2819,0.00,,
,,,,,,,"Yes",1671,0.00,,
,,,,,,,"Total",4490,0.00,,
,,,,,"Total","Working-age","No or none",13670,0.00,,
,,,,,,,"Yes",1671,0.00,,
,,,,,,,"Total",15341,0.00,,
,,,,,,"Pensioner (spa)","No or none",2568,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2568,0.00,,
,,,,,,"Total","No or none",16238,0.00,,
,,,,,,,"Yes",1671,0.00,,
,,,,,,,"Total",17909,0.00,,
,,,,"£250 - £299.99","Social renting","Working-age","No or none",2551,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2551,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2551,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2551,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",1218,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1218,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1218,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1218,0.00,,
,,,,,"Owned outright","Working-age","No or none",4013,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",4013,0.00,,
,,,,,,"Pensioner (spa)","No or none",1768,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1768,0.00,,
,,,,,,"Total","No or none",5781,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5781,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",6760,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",6760,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",6760,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",6760,0.00,,
,,,,,"Total","Working-age","No or none",14542,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",14542,0.00,,
,,,,,,"Pensioner (spa)","No or none",1768,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1768,0.00,,
,,,,,,"Total","No or none",16310,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",16310,0.00,,
,,,,"£300 - £399.99","Social renting","Working-age","No or none",1329,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1329,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1329,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1329,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",3225,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3225,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3225,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3225,0.00,,
,,,,,"Owned outright","Working-age","No or none",7560,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",7560,0.00,,
,,,,,,"Pensioner (spa)","No or none",733,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",733,0.00,,
,,,,,,"Total","No or none",8293,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",8293,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",12269,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",12269,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",12269,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",12269,0.00,,
,,,,,"Total","Working-age","No or none",24383,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",24383,0.00,,
,,,,,,"Pensioner (spa)","No or none",733,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",733,0.00,,
,,,,,,"Total","No or none",25116,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",25116,0.00,,
,,,,"£400 - £499.99","Social renting","Working-age","No or none",1028,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1028,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1028,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1028,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",2012,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2012,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2012,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2012,0.00,,
,,,,,"Owned outright","Working-age","No or none",5485,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5485,0.00,,
,,,,,,"Pensioner (spa)","No or none",1570,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1570,0.00,,
,,,,,,"Total","No or none",7055,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",7055,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",8721,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",8721,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",8721,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",8721,0.00,,
,,,,,"Total","Working-age","No or none",17246,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",17246,0.00,,
,,,,,,"Pensioner (spa)","No or none",1570,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1570,0.00,,
,,,,,,"Total","No or none",18816,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",18816,0.00,,
,,,,"£500 or more","Social renting","Working-age","No or none",8358,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",8358,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",8358,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",8358,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",9877,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",9877,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",9877,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",9877,0.00,,
,,,,,"Owned outright","Working-age","No or none",27371,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",27371,0.00,,
,,,,,,"Pensioner (spa)","No or none",5264,0.00,,
,,,,,,,"Yes",785,0.00,,
,,,,,,,"Total",6049,0.00,,
,,,,,,"Total","No or none",32635,0.00,,
,,,,,,,"Yes",785,0.00,,
,,,,,,,"Total",33420,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",31819,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",31819,0.00,,
,,,,,,"Pensioner (spa)","No or none",733,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",733,0.00,,
,,,,,,"Total","No or none",32552,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",32552,0.00,,
,,,,,"Total","Working-age","No or none",77425,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",77425,0.00,,
,,,,,,"Pensioner (spa)","No or none",5997,0.00,,
,,,,,,,"Yes",785,0.00,,
,,,,,,,"Total",6782,0.00,,
,,,,,,"Total","No or none",83422,0.00,,
,,,,,,,"Yes",785,0.00,,
,,,,,,,"Total",84207,0.00,,
,,,"Yorkshire and The Humber (E12000003)","Less than £50","Social renting","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Owned outright","Working-age","No or none",4058,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",4058,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",4058,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",4058,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",6122,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",6122,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",6122,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",6122,0.00,,
,,,,,"Total","Working-age","No or none",10180,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",10180,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",10180,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",10180,0.00,,
,,,,"£50 - £99.99","Social renting","Working-age","No or none",1408,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1408,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1408,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1408,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",839,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",839,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",839,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",839,0.00,,
,,,,,"Owned outright","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",4338,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",4338,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",4338,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",4338,0.00,,
,,,,,"Total","Working-age","No or none",6585,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",6585,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",6585,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",6585,0.00,,
,,,,"£100 - £149.99","Social renting","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",3133,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3133,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3133,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3133,0.00,,
,,,,,"Owned outright","Working-age","No or none",1532,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1532,0.00,,
,,,,,,"Pensioner (spa)","No or none",743,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",743,0.00,,
,,,,,,"Total","No or none",2275,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2275,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",1950,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1950,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1950,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1950,0.00,,
,,,,,"Total","Working-age","No or none",6615,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",6615,0.00,,
,,,,,,"Pensioner (spa)","No or none",743,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",743,0.00,,
,,,,,,"Total","No or none",7358,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",7358,0.00,,
,,,,"£150 - £199.99","Social renting","Working-age","No or none",2097,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2097,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2097,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2097,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Owned outright","Working-age","No or none",4772,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",4772,0.00,,
,,,,,,"Pensioner (spa)","No or none",1871,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1871,0.00,,
,,,,,,"Total","No or none",6643,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",6643,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Total","Working-age","No or none",6869,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",6869,0.00,,
,,,,,,"Pensioner (spa)","No or none",1871,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1871,0.00,,
,,,,,,"Total","No or none",8740,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",8740,0.00,,
,,,,"£200 - £249.99","Social renting","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",955,0.00,,
,,,,,,,"Total",955,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",955,0.00,,
,,,,,,,"Total",955,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",1748,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1748,0.00,,
,,,,,,"Pensioner (spa)","No or none",676,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",676,0.00,,
,,,,,,"Total","No or none",2424,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2424,0.00,,
,,,,,"Owned outright","Working-age","No or none",4626,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",4626,0.00,,
,,,,,,"Pensioner (spa)","No or none",1412,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1412,0.00,,
,,,,,,"Total","No or none",6038,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",6038,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",3890,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3890,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3890,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3890,0.00,,
,,,,,"Total","Working-age","No or none",10264,0.00,,
,,,,,,,"Yes",955,0.00,,
,,,,,,,"Total",11219,0.00,,
,,,,,,"Pensioner (spa)","No or none",2088,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2088,0.00,,
,,,,,,"Total","No or none",12352,0.00,,
,,,,,,,"Yes",955,0.00,,
,,,,,,,"Total",13307,0.00,,
,,,,"£250 - £299.99","Social renting","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",2232,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2232,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2232,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2232,0.00,,
,,,,,"Owned outright","Working-age","No or none",4427,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",4427,0.00,,
,,,,,,"Pensioner (spa)","No or none",1286,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1286,0.00,,
,,,,,,"Total","No or none",5713,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5713,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",4144,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",4144,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",4144,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",4144,0.00,,
,,,,,"Total","Working-age","No or none",10803,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",10803,0.00,,
,,,,,,"Pensioner (spa)","No or none",1286,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1286,0.00,,
,,,,,,"Total","No or none",12089,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",12089,0.00,,
,,,,"£300 - £399.99","Social renting","Working-age","No or none",1407,0.00,,
,,,,,,,"Yes",1173,0.00,,
,,,,,,,"Total",2580,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1407,0.00,,
,,,,,,,"Yes",1173,0.00,,
,,,,,,,"Total",2580,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",1174,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1174,0.00,,
,,,,,,"Pensioner (spa)","No or none",853,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",853,0.00,,
,,,,,,"Total","No or none",2027,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2027,0.00,,
,,,,,"Owned outright","Working-age","No or none",5189,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5189,0.00,,
,,,,,,"Pensioner (spa)","No or none",1515,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1515,0.00,,
,,,,,,"Total","No or none",6704,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",6704,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",5729,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5729,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",5729,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5729,0.00,,
,,,,,"Total","Working-age","No or none",13499,0.00,,
,,,,,,,"Yes",1173,0.00,,
,,,,,,,"Total",14672,0.00,,
,,,,,,"Pensioner (spa)","No or none",2368,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2368,0.00,,
,,,,,,"Total","No or none",15867,0.00,,
,,,,,,,"Yes",1173,0.00,,
,,,,,,,"Total",17040,0.00,,
,,,,"£400 - £499.99","Social renting","Working-age","No or none",958,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",958,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",958,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",958,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Owned outright","Working-age","No or none",1746,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1746,0.00,,
,,,,,,"Pensioner (spa)","No or none",3866,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3866,0.00,,
,,,,,,"Total","No or none",5612,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5612,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",5733,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5733,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",5733,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5733,0.00,,
,,,,,"Total","Working-age","No or none",8437,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",8437,0.00,,
,,,,,,"Pensioner (spa)","No or none",3866,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3866,0.00,,
,,,,,,"Total","No or none",12303,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",12303,0.00,,
,,,,"£500 or more","Social renting","Working-age","No or none",3758,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3758,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3758,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3758,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",9650,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",9650,0.00,,
,,,,,,"Pensioner (spa)","No or none",716,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",716,0.00,,
,,,,,,"Total","No or none",10366,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",10366,0.00,,
,,,,,"Owned outright","Working-age","No or none",16483,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",16483,0.00,,
,,,,,,"Pensioner (spa)","No or none",5252,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5252,0.00,,
,,,,,,"Total","No or none",21735,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",21735,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",22957,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",22957,0.00,,
,,,,,,"Pensioner (spa)","No or none",1454,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1454,0.00,,
,,,,,,"Total","No or none",24411,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",24411,0.00,,
,,,,,"Total","Working-age","No or none",52848,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",52848,0.00,,
,,,,,,"Pensioner (spa)","No or none",7422,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",7422,0.00,,
,,,,,,"Total","No or none",60270,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",60270,0.00,,
,,,"East Midlands (E12000004)","Less than £50","Social renting","Working-age","No or none",2872,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2872,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2872,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2872,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",2271,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2271,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2271,0.00,,
,,,,,,,"Yes",..,0.00,,
